"study","sp_code","n_sp","sp_id","sp_common","sp_scientific"
"leirness2021","ANMU",1,"GBIF:2481350","Ancient Murrelet","Synthliboramphus antiquus"
"leirness2021","ASSP",1,"GBIF:10750616","Ashy Storm-Petrel","Hydrobates homochroa"
"leirness2021","BFAL",1,"GBIF:2481383","Black-footed Albatross","Phoebastria nigripes"
"leirness2021","BLKI",1,"GBIF:2481205","Black-legged Kittiwake","Rissa tridactyla"
"leirness2021","BLSP",1,"GBIF:11068810","Black Storm-Petrel","Hydrobates melania"
"leirness2021","BOGU",1,"GBIF:6065818","Bonaparte’s Gull","Chroicocephalus philadelphia"
"leirness2021","BRAC",1,"GBIF:2481892","Brandt’s Cormorant","Phalacrocorax penicillatus"
"leirness2021","BRPE",1,"GBIF:5229158","Brown Pelican","Pelecanus occidentalis"
"leirness2021","BULS",1,"GBIF:5229379","Buller’s Shearwater","Ardenna bulleri"
"leirness2021","BVSH",1,"GBIF:5229356","Black-vented Shearwater","Puffinus opisthomelas"
"leirness2021","CAAU",1,"GBIF:2481302","Cassin’s Auklet","Ptychoramphus aleuticus"
"leirness2021","CAGU",1,"GBIF:2481146","California Gull","Larus californicus"
"leirness2021","CATE",1,"GBIF:2481236","Caspian Tern","Hydroprogne caspia"
"leirness2021","COLO",1,"GBIF:2481962","Common Loon","Gavia immer"
"leirness2021","COMU",1,"GBIF:2481342","Common Murre","Uria aalge"
"leirness2021","COPE",1,"GBIF:2481491","Cook’s Petrel","Pterodroma cookii"
"leirness2021","CORM",1,"GBIF:2481854","Cormorant spp.","Phalacrocorax"
"leirness2021","COTE-ARTE",2,"GBIF:9367409","Common/Arctic Tern","Sterna hirundo"
"leirness2021","COTE-ARTE",2,"GBIF:5229230","Common/Arctic Tern","Sterna paradisaea"
"leirness2021","DCCO",1,"GBIF:2481875","Double-crested Cormorant","Phalacrocorax auritus"
"leirness2021","DOVE",1,"GBIF:2481299","Dovekie","Alle alle"
"leirness2021","FTSP",1,"GBIF:2482009","Fork-tailed Storm-Petrel","Hydrobates furcatus"
"leirness2021","GBBG",1,"GBIF:2481172","Great Black-backed Gull","Larus marinus"
"leirness2021","GRSH",1,"GBIF:5229343","Great Shearwater","Puffinus gravis"
"leirness2021","GRSK",1,"GBIF:2481618","Great Skua","Stercorarius skua"
"leirness2021","HEEG",1,"GBIF:2481130","Heermann’s Gull","Larus heermanni"
"leirness2021","HERG",1,"GBIF:2481139","Herring Gull","Larus argentatus"
"leirness2021","HERG-ICGU",2,"GBIF:2481139","Herring/Iceland Gull","Larus argentatus"
"leirness2021","HERG-ICGU",2,"GBIF:2481156","Herring/Iceland Gull","Larus glaucoides"
"leirness2021","HOGR",1,"GBIF:2482059","Horned Grebe","Podiceps auritus"
"leirness2021","JAEG",3,"GBIF:2481613","Jaeger spp.","Stercorarius longicaudus"
"leirness2021","JAEG",3,"GBIF:2481621","Jaeger spp.","Stercorarius parasiticus"
"leirness2021","JAEG",3,"GBIF:2481609","Jaeger spp.","Stercorarius pomarinus"
"leirness2021","LAAL",1,"GBIF:2481381","Laysan Albatross","Phoebastria immutabilis"
"leirness2021","LAGU",1,"GBIF:6065844","Laughing Gull","Leucophaeus atricilla"
"leirness2021","LESP",2,"GBIF:2482012","Leach's Storm-Petrel","Oceanodroma leucorhoa"
"leirness2021","LESP",2,"GBIF:9461262","Leach’s Storm-Petrel","Hydrobates leucorhous"
"leirness2021","LETE",1,"GBIF:5789285","Least Tern","Sterna antillarum"
"leirness2021","LOON",1,"GBIF:2481954","Loon spp.","Gavia"
"leirness2021","LTDU",1,"GBIF:2498273","Long-tailed Duck","Clangula hyemalis"
"leirness2021","MAMU",1,"GBIF:5229281","Marbled Murrelet","Brachyramphus marmoratus"
"leirness2021","MASH",1,"GBIF:5229380","Manx Shearwater","Puffinus puffinus"
"leirness2021","MUPE",1,"GBIF:2481466","Murphy’s Petrel","Pterodroma ultima"
"leirness2021","NOFU",1,"GBIF:2481433","Northern Fulmar","Fulmarus glacialis"
"leirness2021","NOGA",1,"GBIF:2480964","Northern Gannet","Morus bassanus"
"leirness2021","PAJA",1,"GBIF:2481621","Parasitic Jaeger","Stercorarius parasiticus"
"leirness2021","PAJA-LTJA",2,"GBIF:2481613","Parasitic/Long-tailed Jaeger","Stercorarius longicaudus"
"leirness2021","PAJA-LTJA",2,"GBIF:2481621","Parasitic/Long-tailed Jaeger","Stercorarius parasiticus"
"leirness2021","PECO",1,"GBIF:2481870","Pelagic Cormorant","Phalacrocorax pelagicus"
"leirness2021","PFSH",1,"GBIF:5229358","Pink-footed Shearwater","Ardenna creatopus"
"leirness2021","PHAL",1,"GBIF:9549339","Phalarope spp.","Phalaropus"
"leirness2021","PIGU",1,"GBIF:9315520","Pigeon Guillemot","Cepphus columba"
"leirness2021","POJA",1,"GBIF:2481609","Pomarine Jaeger","Stercorarius pomarinus"
"leirness2021","RAZO",1,"GBIF:8277073","Razorbill","Alca torda"
"leirness2021","RBGU",1,"GBIF:2481134","Ring-billed Gull","Larus delawarensis"
"leirness2021","RBME",1,"GBIF:2498375","Red-breasted Merganser","Mergus serrator"
"leirness2021","REPH",1,"GBIF:5229390","Red Phalarope","Phalaropus fulicarius"
"leirness2021","RHAU",1,"GBIF:2481324","Rhinoceros Auklet","Cerorhinca monocerata"
"leirness2021","RNPH",1,"GBIF:5739290","Red-necked Phalarope","Phalaropus lobatus"
"leirness2021","ROST",1,"GBIF:5229249","Roseate Tern","Sterna dougallii"
"leirness2021","ROYT",1,"GBIF:5789281","Royal Tern","Sterna maxima"
"leirness2021","ROYT-ELTE",2,"GBIF:2481285","Royal/Elegant Tern","Thalasseus elegans"
"leirness2021","ROYT-ELTE",2,"GBIF:5789281","Royal/Elegant Tern","Thalasseus maximus"
"leirness2021","RTLO",1,"GBIF:2481958","Red-throated Loon","Gavia stellata"
"leirness2021","SAGU",1,"GBIF:2481221","Sabine’s Gull","Xema sabini"
"leirness2021","SCMU-GUMU-CRMU",3,"GBIF:2481348","Scripps’s/Guadalupe/Craveri’s Murrelet","Synthliboramphus craveri"
"leirness2021","SCMU-GUMU-CRMU",3,"GBIF:2481351","Scripps’s/Guadalupe/Craveri’s Murrelet","Synthliboramphus hypoleucus"
"leirness2021","SCMU-GUMU-CRMU",3,"GBIF:8363918","Scripps’s/Guadalupe/Craveri’s Murrelet","Synthliboramphus scrippsi"
"leirness2021","SCOT",1,"GBIF:2498237","Scoter spp.","Melanitta"
"leirness2021","SOSH",1,"GBIF:5739277","Sooty Shearwater","Puffinus griseus"
"leirness2021","SOTE",1,"GBIF:5789284","Sooty Tern","Sterna fuscata"
"leirness2021","SPSK",1,"GBIF:2481616","South Polar Skua","Stercorarius maccormicki"
"leirness2021","STTS-SOSH-FFSH",3,"GBIF:5229378","Short-tailed/Sooty/Flesh-footed Shearwater","Ardenna carneipes"
"leirness2021","STTS-SOSH-FFSH",3,"GBIF:5739277","Short-tailed/Sooty/Flesh-footed Shearwater","Ardenna grisea"
"leirness2021","STTS-SOSH-FFSH",3,"GBIF:5229359","Short-tailed/Sooty/Flesh-footed Shearwater","Ardenna tenuirostris"
"leirness2021","SUSC",1,"GBIF:2498246","Surf Scoter","Melanitta perspicillata"
"leirness2021","TBMU",1,"GBIF:2481339","Thick-billed Murre","Uria lomvia"
"leirness2021","TUPU",1,"GBIF:2481357","Tufted Puffin","Fratercula cirrhata"
"leirness2021","WEGR-CLGR",2,"GBIF:2482032","Western/Clark’s Grebe","Aechmophorus clarkii"
"leirness2021","WEGR-CLGR",2,"GBIF:2482033","Western/Clark’s Grebe","Aechmophorus occidentalis"
"leirness2021","WEGU-WGWH-GWGU",2,"GBIF:2481196","Western/Glaucous-winged Gull","Larus glaucescens"
"leirness2021","WEGU-WGWH-GWGU",2,"GBIF:9656686","Western/Glaucous-winged Gull","Larus occidentalis"
"leirness2021","WISP",1,"GBIF:5229419","Wilson's Storm-Petrel","Oceanites oceanicus"
"leirness2021","WWSC",1,"GBIF:2498238","White-winged Scoter","Melanitta fusca"
