sp_cmn,sp_sci,worms_id,gbif_id,mdl_seq
Atlantic Cod,Gadus morhua,126436,8084280,7312
Atlantic Lobster,Homarus americanus,156134,5972004,7084
Atlantic Sturgeon,Acipenser oxyrinchus,151802,4287132,4189
Black-capped Petrel,Pterodroma hasitata,343975,2481477,18495
Bowhead Whale,Balaena mysticetus,137086,2440330,311
Calanus finmarchicus,Calanus finmarchicus,104464,5166399,1341
Common Dolphin,Delphinus delphis,137094,8324617,17
Common Tern,Sterna hirundo,137162,9367409,18029
Fin Whale,Balaenoptera physalus,137091,2440718,3
Grey Seal,Halichoerus grypus,137080,2434806,4454
Humpback Whale,Megaptera novaeangliae,137092,5220086,18445
Meganyctiphanes norvegica,Meganyctiphanes norvegica,110690,2227978,9200
North Atlantic Right Whale,Eubalaena glacialis,159023,2440339,18451
Rice's Whale,Balaenoptera ricei,1576133,10840490,18232
Walrus,Odobenus rosmarus,137077,5218819,790
